ID,Education,Marital_Status,Income,Kidhome,Teenhome,Join_date,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Education_years,has_imputed_age,Age,Age_category,Minorhome,Adulthome,HouseholdSize,has_imputed_income,TotalSpend,NumAccepted,NumPurchases,MonthsSinceJoiningCapped,DaysSinceJoin,PercentGold,PercentDealPurchases,SpendPerPurchase,SpendPerMonth,PurchasesPerMonth,SpendPercIncomeMonth
5524,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,16,0,57,55-64,0,1,1,0,1529,0,22,24.0,761,0.05755395683453238,0.13636363636363635,69.5,63.708333333333336,0.9166666666666666,0.01314974715332485
2174,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,16,0,60,55-64,2,1,3,0,21,0,4,6.9369863013698625,211,0.2857142857142857,0.5,5.25,3.0272511848341233,0.5766192733017378,0.0007838558220699439
4141,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,16,0,49,45-54,0,2,2,0,734,0,20,13.47945205479452,410,0.05722070844686648,0.05,36.7,54.45325203252033,1.4837398373983741,0.009124586658710625
6182,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,16,0,30,25-34,1,2,3,0,48,0,6,7.791780821917808,237,0.10416666666666667,0.3333333333333333,8.0,6.160337552742616,0.770042194092827,0.0027743019827708246
5324,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,22,0,33,25-34,1,2,3,0,407,0,14,8.515068493150684,259,0.036855036855036855,0.35714285714285715,29.071428571428573,47.79761904761905,1.6441441441441442,0.009839456342466996
7446,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,18,0,47,45-54,1,2,3,0,702,0,20,12.854794520547944,391,0.019943019943019943,0.1,35.1,54.60997442455243,1.555839727195226,0.010482934639109131
965,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,16,0,43,35-44,1,1,2,0,563,0,17,22.71780821917808,691,0.047957371225577264,0.23529411764705882,33.11764705882353,24.782320308731308,0.7483116256632899,0.005345337354269357
6177,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,22,0,29,25-34,1,2,3,0,146,0,8,16.931506849315067,515,0.15753424657534246,0.25,18.25,8.622977346278319,0.4724919093851133,0.003093074913473421
5899,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,22,0,64,55-64,2,2,4,0,36,1,1,6.772602739726027,206,0.3611111111111111,1.0,36.0,5.315533980582525,0.1476537216828479,0.011293627437498281
1994,Graduation,Married,38872.0,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,16,0,31,25-34,1,2,3,1,18,0,3,10.652054794520547,324,0.05555555555555555,0.3333333333333333,6.0,1.689814814814815,0.28163580246913583,0.0005216551187944479
387,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,12,0,38,35-44,0,2,2,0,45,0,5,22.71780821917808,691,0.35555555555555557,0.2,9.0,1.9808248914616498,0.22009165460684998,0.0031693198263386397
2125,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,16,0,55,55-64,0,1,1,0,1072,0,15,10.652054794520547,324,0.027985074626865673,0.06666666666666667,71.46666666666667,100.63786008230454,1.4081790123456792,0.019159080497321315
8180,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,18,0,62,55-64,2,1,3,0,296,0,12,10.652054794520547,324,0.0472972972972973,0.25,24.666666666666668,27.788065843621403,1.1265432098765433,0.005618101393730108
2569,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,16,0,27,25-34,0,2,2,0,41,0,4,23.835616438356162,725,0.12195121951219512,0.25,10.25,1.7201149425287359,0.167816091954023,0.0011915591589415709
2114,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,22,0,68,65-74,0,1,1,0,1270,2,25,22.356164383561644,680,0.03543307086614173,0.04,50.8,56.807598039215684,1.1182598039215685,0.008232985223074737
9736,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,16,0,34,25-34,2,2,4,0,92,0,6,21.36986301369863,650,0.043478260869565216,0.5,15.333333333333334,4.305128205128205,0.28076923076923077,0.0012344453634776215
4939,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,16,0,68,65-74,0,2,2,0,289,0,11,24.0,765,0.09688581314878893,0.18181818181818182,26.272727272727273,12.041666666666666,0.4583333333333333,0.003826800847457627
6565,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,18,0,65,65-74,1,2,3,0,1606,1,24,18.27945205479452,556,0.1095890410958904,0.08333333333333333,66.91666666666667,87.85821342925661,1.3129496402877698,0.013693078266784587
2278,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,18,0,29,25-34,1,1,2,0,94,0,6,23.046575342465754,701,0.4148936170212766,0.3333333333333333,15.666666666666666,4.078697099381835,0.2603423680456491,0.001447544220767243
9360,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,16,0,32,25-34,0,2,2,0,268,0,11,24.0,788,0.1791044776119403,0.09090909090909091,24.363636363636363,11.166666666666666,0.4583333333333333,0.0036177105831533478
5376,Graduation,Married,46099.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,16,0,35,35-44,1,2,3,1,1729,0,28,20.942465753424656,637,0.000578368999421631,0.5357142857142857,61.75,82.55952380952381,1.3369963369963371,0.021491014679587098
1993,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,22,0,65,65-74,1,2,3,0,953,1,14,21.402739726027395,651,0.01993704092339979,0.21428571428571427,68.07142857142857,44.52700972862264,0.6541218637992833,0.009117069919010897
4047,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,22,0,60,55-64,1,2,3,0,539,0,17,8.778082191780822,267,0.00927643784786642,0.17647058823529413,31.705882352941178,61.40293383270912,1.936641697877653,0.011279701273536669
1409,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,16,0,63,55-64,1,2,3,0,345,0,13,18.60821917808219,566,0.28695652173913044,0.5384615384615384,26.53846153846154,18.540194346289752,0.6986160188457009,0.0054678741712865155
7892,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,16,0,45,45-54,0,1,1,0,62,0,6,21.073972602739726,641,0.20967741935483872,0.3333333333333333,10.333333333333334,2.9420176807072282,0.28471138845553823,0.0018991991053034988
2404,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,16,0,38,35-44,2,2,4,0,216,0,10,16.306849315068494,496,0.18981481481481483,0.4,21.6,13.245967741935484,0.6132392473118279,0.0029789091419109397
9422,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,16,0,25,25-34,1,2,3,0,121,0,7,16.175342465753424,492,0.08264462809917356,0.2857142857142857,17.285714285714285,7.480521680216802,0.43275745257452575,0.0023401006298905537
1966,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,22,0,49,45-54,0,2,2,0,1672,1,25,10.421917808219177,317,0.0,0.04,66.88,160.4311251314406,2.3987907465825447,0.022751347249725676
6864,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,18,0,25,25-34,0,1,1,0,26,0,6,4.471232876712328,136,0.15384615384615385,0.3333333333333333,4.333333333333333,5.814950980392157,1.3419117647058825,0.006355716528345559
3033,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,18,0,51,45-54,0,2,2,0,229,0,10,16.832876712328765,512,0.388646288209607,0.1,22.9,13.604329427083334,0.5940755208333334,0.004227134985111341
5710,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,16,0,44,35-44,1,2,3,0,117,1,7,23.835616438356162,725,0.02564102564102564,0.2857142857142857,16.714285714285715,4.908620689655173,0.29367816091954024,0.0014526844302027739
7373,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,22,0,62,55-64,2,1,3,0,259,0,11,23.21095890410959,706,0.16602316602316602,0.5454545454545454,23.545454545454547,11.158522190745988,0.47391406987724266,0.002872822705190986
8755,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,18,0,68,65-74,0,2,2,0,1174,0,17,19.463013698630135,592,0.018739352640545145,0.058823529411764705,69.05882352941177,60.31953828828829,0.8734515765765767,0.010542762711150493
10738,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,18,0,63,55-64,2,1,3,0,62,0,5,13.216438356164383,402,0.04838709677419355,0.2,12.4,4.691127694859039,0.3783167495854063,0.0011397989904292144
4339,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,22,0,44,35-44,1,2,3,0,878,0,23,9.13972602739726,278,0.03986332574031891,0.21739130434782608,38.17391304347826,96.06414868105517,2.516486810551559,0.017115344293092544
10755,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,18,0,38,35-44,1,2,3,0,45,0,6,13.084931506849314,398,0.8,0.5,7.5,3.439070351758794,0.45854271356783927,0.0017399799401764705
8595,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,16,0,41,35-44,1,1,2,0,63,0,5,7.758904109589041,236,0.06349206349206349,0.4,12.6,8.119703389830509,0.6444209039548022,0.002296458570269535
2968,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,22,0,71,65-74,0,1,1,0,860,1,22,20.087671232876712,611,0.04883720930232558,0.09090909090909091,39.09090909090909,42.812329514457176,1.0951991271140207,0.01049579051592478
8601,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,16,0,34,25-34,1,2,3,0,1293,0,19,17.22739726027397,524,0.07888631090487239,0.10526315789473684,68.05263157894737,75.05486641221374,1.1028944020356235,0.011256682168033957
503,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,18,0,29,25-34,1,2,3,0,46,0,5,18.805479452054794,572,0.15217391304347827,0.4,9.2,2.4460955710955714,0.2658799533799534,0.0014277516831142983
8430,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,16,0,57,55-64,1,2,3,0,19,0,3,21.36986301369863,650,0.15789473684210525,0.3333333333333333,6.333333333333333,0.889102564102564,0.14038461538461539,0.00048509733423800894
7281,PhD,Single,55521.0,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,22,0,55,55-64,0,1,1,1,147,0,8,10.98082191780822,334,0.2653061224489796,0.125,18.375,13.386976047904191,0.7285429141716566,0.0028933865127582408
2139,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,18,0,39,35-44,1,2,3,0,19,0,5,12.098630136986301,368,0.631578947368421,0.6,3.8,1.5704257246376812,0.4132699275362319,0.00251268115942029
1371,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,16,0,38,35-44,0,1,1,0,810,0,15,3.254794520547945,99,0.21481481481481482,0.06666666666666667,54.0,248.86363636363637,4.608585858585859,0.03735709631307635
9909,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,18,0,18,18-24,0,2,2,0,72,0,7,22.84931506849315,695,0.6944444444444444,0.42857142857142855,10.285714285714286,3.1510791366906474,0.30635491606714627,0.005041726618705036
7286,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,16,0,46,45-54,1,2,3,0,42,0,4,16.405479452054795,499,0.30952380952380953,0.25,10.5,2.5601202404809618,0.24382097528390112,0.0007362308973775771
7244,Graduation,Single,60230.0,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,16,0,63,55-64,3,1,4,1,117,0,7,9.106849315068493,277,0.05982905982905983,0.42857142857142855,16.714285714285715,12.847472924187727,0.7686522262334538,0.0025596824687074997
6566,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,22,0,60,55-64,2,2,4,0,1281,0,19,22.882191780821916,696,0.02966432474629196,0.47368421052631576,67.42105263157895,55.98239942528736,0.8303400383141764,0.00925966634188075
8614,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,16,0,57,55-64,1,1,2,0,493,0,16,4.8,146,0.028397565922920892,0.0625,30.8125,102.70833333333334,3.3333333333333335,0.018820816663103566
4114,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,18,0,50,45-54,0,2,2,0,1661,0,28,24.0,785,0.01926550270921132,0.03571428571428571,59.32142857142857,69.20833333333333,1.1666666666666667,0.010493663368838684
1331,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,16,0,37,35-44,1,1,2,0,69,0,5,21.073972602739726,641,0.043478260869565216,0.4,13.8,3.2741809672386895,0.2372594903796152,0.001097797474346585
2225,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,16,0,37,35-44,0,1,1,0,1376,2,20,3.9452054794520546,120,0.1751453488372093,0.05,68.8,348.77777777777777,5.069444444444445,0.05068093934917214
9381,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,16,0,36,35-44,2,2,4,0,497,0,16,15.780821917808218,480,0.2193158953722334,0.4375,31.0625,31.493923611111114,1.0138888888888888,0.005693988268321959
