ID,transaction_date,amount,purchase_index
5524,2012-10-15,106.26,1
5524,2012-11-01,58.7,2
5524,2012-11-16,51.59,3
5524,2012-12-10,77.38,4
5524,2013-01-31,63.37,5
5524,2013-02-11,45.13,6
5524,2013-02-11,63.39,7
5524,2013-02-27,77.61,8
5524,2013-02-28,74.92,9
5524,2013-03-19,90.48,10
5524,2013-05-09,55.24,11
5524,2013-05-17,52.85,12
5524,2013-08-07,64.29,13
5524,2013-10-06,75.73,14
5524,2013-11-22,56.55,15
5524,2013-11-24,73.41,16
5524,2013-12-01,117.04,17
5524,2014-02-01,69.62,18
5524,2014-02-16,80.92,19
5524,2014-04-22,51.75,20
5524,2014-05-13,68.48,21
5524,2014-08-08,54.29,22
2174,2014-03-08,5.36,1
2174,2014-05-22,5.81,2
2174,2014-07-07,5.95,3
2174,2014-08-28,3.88,4
4141,2013-08-21,22.92,1
4141,2013-10-11,40.79,2
4141,2013-10-14,41.54,3
4141,2013-10-15,58.81,4
4141,2013-11-02,32.27,5
4141,2013-11-19,26.08,6
4141,2014-01-04,28.5,7
4141,2014-01-10,31.35,8
4141,2014-01-17,64.13,9
4141,2014-02-17,30.68,10
4141,2014-02-21,49.81,11
4141,2014-03-14,36.91,12
4141,2014-04-19,25.69,13
4141,2014-04-29,31.5,14
4141,2014-05-23,34.47,15
4141,2014-05-24,41.29,16
4141,2014-06-07,35.72,17
4141,2014-06-10,42.23,18
4141,2014-07-22,31.97,19
4141,2014-09-09,27.3,20
6182,2014-02-10,9.61,1
6182,2014-06-04,9.33,2
6182,2014-06-28,7.17,3
6182,2014-07-26,8.41,4
6182,2014-09-03,7.31,5
6182,2014-09-09,6.17,6
5324,2014-01-19,23.81,1
5324,2014-02-26,34.72,2
5324,2014-02-28,21.13,3
5324,2014-03-28,28.7,4
5324,2014-04-14,26.64,5
5324,2014-04-27,31.75,6
5324,2014-04-30,33.26,7
5324,2014-05-06,27.5,8
5324,2014-05-08,33.16,9
5324,2014-05-14,35.58,10
5324,2014-05-17,32.4,11
5324,2014-05-21,24.03,12
5324,2014-06-12,32.65,13
5324,2014-07-03,21.67,14
7446,2013-09-09,25.86,1
7446,2013-09-24,23.57,2
7446,2013-10-09,45.98,3
7446,2013-11-06,32.62,4
7446,2014-01-06,39.35,5
7446,2014-02-03,32.74,6
7446,2014-03-15,32.66,7
7446,2014-05-02,33.36,8
7446,2014-05-09,27.35,9
7446,2014-06-06,35.57,10
7446,2014-06-16,70.65,11
7446,2014-07-13,20.26,12
7446,2014-08-01,31.71,13
7446,2014-08-03,38.52,14
7446,2014-08-04,43.33,15
7446,2014-08-13,34.13,16
7446,2014-08-14,41.27,17
7446,2014-08-29,23.64,18
7446,2014-09-08,37.87,19
7446,2014-09-19,31.54,20
965,2012-11-13,73.73,1
965,2012-12-05,36.89,2
965,2013-01-07,22.26,3
965,2013-03-11,35.72,4
965,2013-04-23,32.46,5
965,2013-07-06,33.12,6
965,2013-07-20,32.38,7
965,2013-08-29,28.55,8
965,2013-09-24,32.01,9
965,2013-12-10,37.38,10
965,2013-12-18,32.0,11
965,2014-03-03,32.01,12
965,2014-06-04,30.77,13
965,2014-06-05,36.62,14
965,2014-07-24,19.94,15
965,2014-08-10,26.01,16
965,2014-09-01,21.15,17
6177,2013-05-08,17.38,1
6177,2013-06-26,15.92,2
6177,2013-09-27,14.97,3
6177,2013-12-28,15.56,4
6177,2014-01-16,17.51,5
6177,2014-04-28,21.74,6
6177,2014-06-28,16.13,7
6177,2014-09-03,26.78,8
5899,2014-07-29,36.0,1
1994,2013-11-15,7.93,1
1994,2014-06-30,4.3,2
1994,2014-09-24,5.77,3
387,2012-11-13,8.4,1
387,2013-01-20,7.06,2
387,2013-06-02,14.23,3
387,2013-08-03,8.87,4
387,2014-08-07,6.45,5
